Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
2013-07-25	23555300	Cui J	2013-03-28	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23555300	Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis.	Response to anti-TNF treatment in rheumatoid arthritis	Up to 2,706 European ancestry cases	NR	10p14	10	6747501	NR	PRKCQ-AS1 - LINC00706	439949	100652997		162.14	26.80	rs12570744-T	rs12570744	0	12570744		1	0.17	2E-7	6.698970004	(infliximab, delta-DAS analysis)	.49	[NR] unit decrease	Illumina and Affymetrix [~ 2 Million] (Imputed)	N
2013-07-25	23555300	Cui J	2013-03-28	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23555300	Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis.	Response to anti-TNF treatment in rheumatoid arthritis	Up to 2,706 European ancestry cases	NR	14q13.1	14	34665980	NR	RPS19P3 - RPL23AP8	728953	641614		96.81	28.18	rs7141276-A	rs7141276	0	7141276		1	0.41	2E-6	5.698970004	(all patients, EULAR response analysis)	.37	[NR] unit increase	Illumina and Affymetrix [~ 2 Million] (Imputed)	N
2013-07-25	23555300	Cui J	2013-03-28	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23555300	Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis.	Response to anti-TNF treatment in rheumatoid arthritis	Up to 2,706 European ancestry cases	NR	5q35.2	5	175184337	NA	NIFKP2 - ARL2BPP6	645398	100874421		260.34	106.39	rs4336372-C	rs4336372	0	4336372		1	0.34	1E-6	6	(infliximab, EULAR response analysis)	.65	[NR] unit decrease	Illumina and Affymetrix [~ 2 Million] (Imputed)	N
2013-07-25	23555300	Cui J	2013-03-28	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23555300	Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis.	Response to anti-TNF treatment in rheumatoid arthritis	733 European ancestry cases	"139 Portuguese ancestry cases; 151 Japanese ancestry cases"	1q23.3	1	160546518	CD84	CD84			8832			rs6427528-A	rs6427528	0	6427528	UTR-3	0	0.08	2E-6	5.698970004	(Etanercept, EA)	NR	NR	Illumina [~2 Million] (Imputed)	N
2013-07-25	23555300	Cui J	2013-03-28	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23555300	Genome-wide association study and gene expression analysis identifies CD84 as a predictor of response to etanercept therapy in rheumatoid arthritis.	Response to anti-TNF treatment in rheumatoid arthritis	Up to 2,706 European ancestry cases	NR	5q35.2	5	175184337	NR	NIFKP2 - ARL2BPP6	645398	100874421		260.34	106.39	rs4336372-C	rs4336372	0	4336372		1	0.34	3E-6	5.522878745	(infliximab, delta-DAS analysis)	.34	[NR] unit decrease	Illumina and Affymetrix [~ 2 Million] (Imputed)	N
2012-11-28	23028356	Myouzen K	2012-09-13	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23028356	"Functional variants in NFKBIE and RTKN2 involved in activation of the NF-&#x003ba;B pathway are associated with rheumatoid arthritis in Japanese."	Rheumatoid arthritis	2,303 Japanese ancestry cases, 3,380 Japanese ancestry controls	5,604 Japanese ancestry cases, 31,982 Japanese ancestry controls	6p21.1	6	44265183	NFKBIE	NFKBIE			4794			rs2233434-G	rs2233434	0	2233434	missense	0	0.215	1E-15	15		1.20	[1.15-1.26]	Illumina [NR]	N
2012-11-28	23028356	Myouzen K	2012-09-13	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/23028356	"Functional variants in NFKBIE and RTKN2 involved in activation of the NF-&#x003ba;B pathway are associated with rheumatoid arthritis in Japanese."	Rheumatoid arthritis	2,303 Japanese ancestry cases, 3,380 Japanese ancestry controls	5,604 Japanese ancestry cases, 31,982 Japanese ancestry controls	10q21.2	10	62198353	RTKN2	RTKN2			219790			rs3125734-T	rs3125734	0	3125734	missense	0	0.108	5E-9	8.301029996		1.20	[1.13-1.27]	Illumina [NR]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	15q26.2	15	95598638	NR2F2	LINC00924 - NR2F2-AS1	145820	644192		90.79	667.75	rs10520789-?	rs10520789	0	10520789		1	NR	6E-7	6.22184875	(Change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	17q24.3	17	69806211	MAP2K6	LOC101928122			101928122			rs11870477-?	rs11870477	0	11870477	intron	0	NR	3E-6	5.522878745	(Change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	1p36.12	1	21549423	ALPL	ALPL			249			rs885814-?	rs885814	0	885814	intron	0	NR	6E-6	5.22184875	(Change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	18q22.3	18	71581359	CBLN2	GTSCR1 - CBLN2	220158	147381		930.50	955.32	rs1539909-?	rs1539909	0	1539909		1	NR	4E-6	5.397940009	(Relative change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	2p22.2	2	37504522	QPCT	QPCT - CDC42EP3	25797	10602		131.20	137.36	rs960902-?	rs960902	0	960902		1	NR	8E-6	5.096910013	(Relative change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	16q23.1	16	76856229	CNTNAP4	CNTNAP4 - MIR4719	85445	100616172		296.99	12.71	rs17679567-?	rs17679567	0	17679567		1	NR	9E-6	5.045757491	(Relative change in DAS28)	NR	NR	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	12p12.2	12	20687905	PDE3A	PDE3A			5139			rs11045392-?	rs11045392	0	11045392	nearGene-3	0	NR	2E-6	5.698970004	(EULAR response)	3.30	[1.90-5.60]	Illumina [486,450]	N
2012-07-10	22569225	Krintel SB	2012-05-06	Pharmacogenet Genomics	http://www.ncbi.nlm.nih.gov/pubmed/22569225	"Investigation of single nucleotide polymorphisms and biological pathways associated with response to TNF&#x003b1; inhibitors in patients with rheumatoid arthritis."	Response to TNF-alpha inhibitors in rheumatoid arthritis	196 European ancestry cases	NR	12p12.2	12	20707159	SLCO1C1	SLCO1C1			53919			rs3794271-?	rs3794271	0	3794271	intron	0	NR	4E-6	5.397940009	(EULAR response)	3.20	[1.90-5.50]	Illumina [486,450]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	20p13	20	2774842	Intergenic	EBF4 - RPL19P1	57593	140759		14.73	5.77	rs6138892-?	rs6138892	0	6138892		1	0.15	3E-7	6.522878745	(CTJC , EA, RF-)	10.93	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	3p26.1	3	6214310	Intergenic	MRPS35P1 - MRPS36P1	339910	347705		767.21	558.73	rs6774280-?	rs6774280	0	6774280		1	0.23	9E-7	6.045757491	(CSJC , EA, RF-)	5.50	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	1p36.22	1	9348900	SPSB1	SPSB1			80176			rs11121380-?	rs11121380	0	11121380	intron	0	0.07	5E-8	7.301029996	(CSJC , EA, RF-)	11.11	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	3p25.3	3	10835926	SLC6A11	SLC6A11			6538			rs1809529-?	rs1809529	0	1809529	intron	0	0.34	3E-7	6.522878745	(CHAQ, RF-)	.28	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	11p15.3	11	11482681	Intergenic	GALNT18			374378			rs7940423-?	rs7940423	0	7940423	intron	0	0.011	1E-7	7	(CSJC, RF+)	10.90	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	19p13.12	19	15566899	Intergenic	CYP4F23P			100422238			rs1273516-?	rs1273516	0	1273516		0	0.39	9E-7	6.045757491	(CSJC , EA, RF-)	4.26	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	5p14.3	5	21749239	Intergenic	GUSBP1 - CDH12	728411	1010		159.87	1.63	rs12109285-?	rs12109285	0	12109285		1	0.011	1E-7	7	(CSJC , EA, RF+)	130.20	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	12p11.21	12	32384554	Intergenic	BICD1 - FGD4	636	121512		.92	15.08	rs11051970-?	rs11051970	0	11051970		1	0.34	1E-6	6	(CSJC, RF+)	2.08	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	15q14	15	36057645	Intergenic	MIR4510 - COX6CP4	100616293	100288892		130.72	514.29	rs1898036-?	rs1898036	0	1898036		1	0.1	2E-7	6.698970004	(CSJC , EA, RF-)	7.73	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	NR			Intergenic	-						GA009635-?	GA009635					0.034	7E-7		(CSJC, RF-)	12.51	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	9p13.2	9	37037979	Intergenic	LOC100130458			100130458			rs1329568-?	rs1329568	0	1329568	ncRNA	0	0.029	8E-7	6.096910013	(CSJC, RF-)	19.64	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	18q12.3	18	42857686	Intergenic	RIT2			6014			rs16977065-?	rs16977065	0	16977065	intron	0	0.044	1E-7	7	(CSJC , EA, RF+)	33.72	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	13q14.11	13	43642928	ENOX1	ENOX1			55068			rs4942242-?	rs4942242	0	4942242	intron	0	0.47	2E-7	6.698970004	(CHAQ, RF+)	.13	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	14q21.3	14	47405354	MDGA2	MDGA2			161357			rs17118552-?	rs17118552	0	17118552	intron	0	0.014	2E-7	6.698970004	(CTJC , EA, RF+)	17.19	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	16q12.1	16	48587491	ENSG00000102921	N4BP1			9683			rs6500395-?	rs6500395	0	6500395	intron	0	0.35	6E-7	6.22184875	(CSJC, RF+)	2.20	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	2p16.3	2	51509856	Intergenic	LOC730100			730100			rs1406428-?	rs1406428	0	1406428	intron	0	0.28	2E-7	6.698970004	(CSJC , RF+)	2.74	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	20q13.32	20	59602560	Intergenic	PHACTR3			116154			rs6026990-?	rs6026990	0	6026990	intron	0	0.086	6E-7	6.22184875	(CHAQ , EA, RF-)	.63	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	1p32.1	1	60576203	Intergenic	PGBD4P8 - NFIA	100421185	4774		478.23	501.07	rs12565755-?	rs12565755	0	12565755		1	0.14	5E-8	7.301029996	(CHAQ, EA, RF-)	.39	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	8q21.11	8	74461713	Intergenic	GDAP1 - MIR5681A	54332	100847058		94.60	86.83	rs16938910-?	rs16938910	0	16938910		1	0.011	4E-7	6.397940009	(CSJC , EA, RF+)	28.66	[NR] unit increase	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	15q25.1	15	78540881	PSMA4	PSMA4			5685			rs12901682-?	rs12901682	0	12901682	intron	0	0.017	4E-8	7.397940009	(CSJC , EA, RF-)	135.02	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	4q21.1	4	75491177	RCHY1	RCHY1			25898			rs13137105-?	rs13137105	0	13137105	intron	0	0.38	9E-7	6.045757491	(CTJC, RF-)	6.39	[NR] unit decrease	Illumina [534,053]	N
2012-06-19	22491018	Wang J	2012-04-10	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	4q21.1	4	77215780	Intergenic	CCNG2 - FTLP9	901	100462780		45.72	.64	rs11937061-?	rs11937061	0	11937061		1	0.36	2E-7	6.698970004	(CTJC, RF-)	6.70	[NR] unit decrease	Illumina [534,053]	N
